particle_id,particle_type,charge,parent_ptype,vx,vy,vz,px,py,pz,pt,eta,z0,d0,vr,is_matched,is_trackable
4503599694479360,-211,-1,1,0.00926954113,0.0111411652,75.4030838,-0.932033896,0.717606127,-93.749176,1.176284717575162,-5.0714484844855985,75.4030838,0.01449310024716771,75.40308519284724,False,False
4503599828697088,-2212,-1,3,0.00926954113,0.0111411652,75.4030838,-1.05363631,-0.00767042162,-2.5281992,1.0536642297801726,-1.6092207175992057,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503599962914816,321,1,3,0.00926954113,0.0111411652,75.4030838,-0.892526925,-0.75292635,6.86751509,1.167691055191517,2.472071694531056,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503600063578112,211,1,4,0.00926954113,0.0111411652,75.4030838,3.95550871,1.66725314,4.21020937,4.292526317650915,0.8677483210644344,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503600080355328,-211,-1,4,0.00926954113,0.0111411652,75.4030838,1.12582994,1.13166475,1.34180427,1.5962951356791657,0.764038713813109,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503600097132544,211,1,4,0.00926954113,0.0111411652,75.4030838,0.911423087,4.03076267,3.46357608,4.132522201438504,0.7621639581442488,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503600130686976,211,1,3,0.00926954113,0.0111411652,75.4030838,3.7313714,0.380942434,129.691254,3.750766543356145,4.236552643107613,75.4030838,0.01449310024716771,75.40308519284724,False,False
4503600181018624,-211,-1,1,0.00926954113,0.0111411652,75.4030838,-1.69495165,0.546024919,333.221283,1.7807313969284302,5.924936925784894,75.4030838,0.01449310024716771,75.40308519284724,False,False
4503600298459136,211,1,2,0.00926954113,0.0111411652,75.4030838,0.572740734,-1.76650965,12.2412243,1.857037504178626,2.5846784640228666,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503600415899648,-211,-1,4,0.00926954113,0.0111411652,75.4030838,0.836615324,-1.91882229,13.2239666,2.0932759447699363,2.5426539394869603,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503600432676864,211,1,4,0.00926954113,0.0111411652,75.4030838,0.815060854,-1.36890841,10.5268831,1.5931837404053362,2.5870227998310886,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503600466231296,-211,-1,4,0.00926954113,0.0111411652,75.4030838,0.244365364,-1.08755207,26.2953339,1.114667634806061,3.8544313430567,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503600583671808,321,1,2,0.00926954113,0.0111411652,75.4030838,-1.04743731,1.08619392,150.889038,1.5089539920835897,5.298300210420321,75.4030838,0.01449310024716771,75.40308519284724,False,False
4503600701112320,-211,-1,4,0.00926954113,0.0111411652,75.4030838,-1.410133,-0.438794613,14.3072577,1.476826255890252,2.9666718809542134,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503600717889536,211,1,4,0.00926954113,0.0111411652,75.4030838,-0.938363314,-0.656975508,22.4127007,1.1454878991822308,3.667596705716386,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503600768221184,-2212,-1,4,0.00926954113,0.0111411652,75.4030838,-2.50436735,0.983637691,2.94117832,2.690613114310906,0.945714847635221,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503600835330048,211,1,4,0.00926954113,0.0111411652,75.4030838,-0.277239978,1.15083933,-0.475700706,1.1837622940760908,-0.39175702160386683,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503601003102208,-211,-1,2,0.00926954113,0.0111411652,75.4030838,0.198027104,-3.14268923,-155.295151,3.148922090220178,-4.591517259582111,75.4030838,0.01449310024716771,75.40308519284724,False,False
4503601036656640,-211,-1,2,0.00926954113,0.0111411652,75.4030838,-0.167940691,-1.10851336,-56.8930359,1.121162764718864,-4.62005086515997,75.4030838,0.01449310024716771,75.40308519284724,False,False
4503601120542720,-211,-1,2,0.00926954113,0.0111411652,75.4030838,-1.47950768,0.356091529,-51.6582718,1.5217569294090763,-4.218148847390632,75.4030838,0.01449310024716771,75.40308519284724,False,False
4503601271537664,211,1,2,0.00926954113,0.0111411652,75.4030838,-0.287866473,1.10205007,-2.06122661,1.1390265418612793,-1.355112194080075,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503601288314880,-211,-1,2,0.00926954113,0.0111411652,75.4030838,-0.235776126,1.46849537,-1.9114244,1.48730260313865,-1.0693714645546946,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503601422532608,211,1,21,0.00926954113,0.0111411652,75.4030838,1.50512254,0.384445518,6.10586405,1.5534452731674648,2.0777245483750924,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503601523195904,321,1,21,0.00926954113,0.0111411652,75.4030838,0.97425586,-1.01006353,-17.4386063,1.4033541304248192,-3.214583600968447,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503601556750336,211,1,21,0.00926954113,0.0111411652,75.4030838,1.18816459,-0.292880565,-24.864994,1.2237295936131427,-3.7053098707147183,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503601590304768,211,1,21,0.00926954113,0.0111411652,75.4030838,0.615843117,-0.812729836,-79.6687775,1.0197021776385802,-5.0515552901454805,75.4030838,0.01449310024716771,75.40308519284724,False,False
4503601724522496,-211,-1,1,0.00926954113,0.0111411652,75.4030838,-1.01941276,0.731287897,-93.0769272,1.254585335299875,-4.999813815989292,75.4030838,0.01449310024716771,75.40308519284724,False,False
4503601758076928,-321,-1,1,0.00926954113,0.0111411652,75.4030838,-0.664417744,-0.826769114,126.031555,1.0606592791308596,5.470806522484197,75.4030838,0.01449310024716771,75.40308519284724,False,False
4503602143952896,211,1,213,0.00926954113,0.0111411652,75.4030838,1.35295486,1.10672629,20.5665131,1.7479502092951,3.160168521260037,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503602261393408,-211,-1,113,0.00926954113,0.0111411652,75.4030838,0.983113587,0.451306254,0.705506146,1.081753049380273,0.613057747246743,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503602513051648,-211,-1,113,0.00926954113,0.0111411652,75.4030838,0.805000186,-2.22942066,13.0296907,2.370304153203734,2.4055320505272566,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503602580160512,211,1,113,0.00926954113,0.0111411652,75.4030838,0.291170299,-1.47430563,12.6486759,1.5027831625585395,2.8268912786273974,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503602798264320,211,1,213,0.00926954113,0.0111411652,75.4030838,-0.838559568,-0.762708127,17.0857697,1.1335368701882593,3.4071489651315594,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503602815041536,2212,1,2214,0.00926954113,0.0111411652,75.4030838,-1.03386581,0.966180027,1.95187104,1.4150556023212222,1.1259264252418792,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503602898927616,-211,-1,-213,0.00926954113,0.0111411652,75.4030838,0.280100882,-1.11629725,-0.148953691,1.1509022784123508,-0.12906478502335592,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503602949259264,321,1,323,0.00926954113,0.0111411652,75.4030838,-0.398746938,1.8072623,-2.0525465,1.8507285434567833,-0.9564194876154773,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503603066699776,-211,-1,-213,0.00926954113,0.0111411652,75.4030838,0.641419291,1.97171414,-14.1957321,2.073421172059088,-2.6221797349477733,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503603150585856,211,1,113,0.00926954113,0.0111411652,75.4030838,0.912618101,-0.597145677,0.348032236,1.0906212714928287,0.313931778824946,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503603301580800,-211,-1,-213,0.00926954113,0.0111411652,75.4030838,-0.384363651,-1.48956132,-11.9453373,1.5383524765963723,-2.7468968676246566,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503603318358016,321,1,313,0.00926954113,0.0111411652,75.4030838,-1.03126919,-0.791150808,-26.6925449,1.2997829600522963,-3.715926457783394,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503603469352960,-2212,-1,-2224,0.00926954113,0.0111411652,75.4030838,1.80089557,0.671872854,-47.2416916,1.922144111659615,-3.8953963026126424,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503603502907392,211,1,113,0.00926954113,0.0111411652,75.4030838,0.194869205,1.32994723,-2.98548484,1.3441479240180394,-1.5383565549594005,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503603653902336,211,1,213,0.00926954113,0.0111411652,75.4030838,-1.44563127,-0.0999021158,0.149608091,1.449079087401074,0.10306102306183682,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503603754565632,-211,-1,113,0.00926954113,0.0111411652,75.4030838,-1.33384073,-0.287719816,-4.80110216,1.3645196171275833,-1.9707984244749408,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503603888783360,211,1,213,0.00926954113,0.0111411652,75.4030838,1.145136,-0.747956514,-119.089539,1.367762920001501,-5.159879294839943,75.4030838,0.01449310024716771,75.40308519284724,False,False
4503604341768192,321,1,333,0.00926954113,0.0111411652,75.4030838,-1.1452086,-0.0616087765,-18.0991058,1.1468645861023814,-3.4529802408568226,75.4030838,0.01449310024716771,75.40308519284724,True,True
4503606640246784,211,1,223,0.00926954113,0.0111411652,75.4030838,0.806580067,-1.40498877,-2.8685534,1.620050878308406,-1.336100823613891,75.4030838,0.01449310024716771,75.40308519284724,True,True
4504699155775488,-13,1,24,0.00926954113,0.0111411652,75.4030838,-0.324733824,-14.0130005,-64.3718948,14.016762645826956,-2.2292183847413316,75.4030838,0.01449310024716771,75.40308519284724,True,True
4517897925820416,13,-1,50,-0.535775483,4.30245161,-361.089569,-5.89438629,15.5093412,-1302.08105,16.591668216118517,-5.056006186973273,-361.089569,4.335682786433468,361.1155978157553,False,False
4517897942597632,-13,1,50,-0.535775483,4.30245161,-361.089569,2.95034361,4.67797709,-418.779785,5.530641650987044,-5.020232150280627,-361.089569,4.335682786433468,361.1155978157553,False,False
4521196645253120,-211,-1,421,-0.23752977,0.476148427,110.950493,-1.1498369,1.25715268,111.166199,1.7036894545171053,4.871436096930168,110.950493,0.5321068653671246,110.95176895687251,False,False
4533297128407040,-211,-1,313,-0.0238300543,0.111510426,79.104126,-0.581670642,1.137146,39.1499176,1.2772790458943153,4.116079425249336,79.104126,0.11402827103241733,79.10420818559825,False,False
4579473127112704,2212,1,3222,25.8412838,-5.35842609,-268.369385,1.4129771,-0.342584103,-17.7767029,1.4539147680496007,-3.198444321878138,-268.369385,26.39099616524801,269.66388613211143,True,True
4580572655517696,-2212,-1,-3122,199.621124,313.730591,-1307.22473,0.703353584,0.964283943,-4.5779562,1.1935450501984717,-2.0540476006478894,-1307.22473,371.8541069777671,1359.0849758568465,True,True
4584975114436608,-211,-1,-213,-0.0302478708,0.00683509,75.4289932,-2.20154643,-0.377425075,1.2151469,2.233664337066897,0.5202296747801911,75.4289932,0.031010516655508864,75.42899957455215,True,True
4601464198529024,-211,-1,310,-11.5616608,1.87819827,50.4645004,-2.54897213,0.37199834,-5.15660763,2.5759739293089696,-1.4444441632929954,50.4645004,11.713224543040555,51.80603661560386,True,True
4656441457639424,-211,-1,310,58.6704559,0.874921679,-1461.84192,0.992529869,0.217263997,-25.2542953,1.0160310946273117,-3.9066438873567257,-1461.84192,58.67697916098126,1463.0190658199726,False,True
4675133708959744,211,1,310,288.989319,-269.752228,186.999588,1.6360054,-1.55520868,0.65081954,2.2572522471306797,0.2844714805418333,186.999588,395.3240329236862,437.3213199916252,True,True
4686129177559040,211,1,213,-0.00786540098,0.0340990499,75.538681,-0.516286492,1.2009691,7.37475538,1.3072408045102004,2.431055457692232,75.538681,0.034994424365302465,75.53868910584494,True,True
4503599660924928,2212,1,2,0.00138079433,0.000907779788,-27.9420185,-0.694477022,1.77731693,161.067505,1.9081807576198366,5.128855524667897,-27.9420185,0.0016524700073712304,27.94201854886292,False,False
4503599795142656,211,1,2,0.00138079433,0.000907779788,-27.9420185,0.880959451,-4.01973915,30.5128078,4.115141843041251,2.701136907427129,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503599912583168,-211,-1,2,0.00138079433,0.000907779788,-27.9420185,1.36862016,0.242789447,-3.50457239,1.3899884380573069,-1.6551113990639617,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503599929360384,211,1,2,0.00138079433,0.000907779788,-27.9420185,1.3504703,0.487175882,-3.84320092,1.4356567734610415,-1.7110208226378756,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503599979692032,211,1,3,0.00138079433,0.000907779788,-27.9420185,1.46513057,1.0447793,-0.496951431,1.7994919763247113,-0.27276706904430587,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503600130686976,211,1,3,0.00138079433,0.000907779788,-27.9420185,-1.1197499,-0.204131991,1.70876575,1.1382045986111786,1.1954739737350115,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503600197795840,211,1,3,0.00138079433,0.000907779788,-27.9420185,-0.957824647,0.452821434,4.93375874,1.0594693508971795,2.2428139246615664,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503600214573056,2212,1,3,0.00138079433,0.000907779788,-27.9420185,-3.98799038,2.65938044,24.705431,4.793367458856784,2.3422179738464517,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503600231350272,-2212,-1,3,0.00138079433,0.000907779788,-27.9420185,-2.44260287,0.813530087,19.076437,2.574517427205818,2.70046160424568,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503600248127488,-211,-1,1,0.00138079433,0.000907779788,-27.9420185,1.0540601,-0.74746877,-7.83970547,1.29218893995318,-2.5027345643142573,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503600315236352,2212,1,1,0.00138079433,0.000907779788,-27.9420185,1.2866559,-0.980719268,-43.293354,1.6178052069489905,-3.980424813814624,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503600399122432,-211,-1,1,0.00138079433,0.000907779788,-27.9420185,-1.27137995,0.577552259,-169.700439,1.3964145477393186,-5.49329095294938,-27.9420185,0.0016524700073712304,27.94201854886292,False,False
4503600449454080,-2212,-1,1,0.00138079433,0.000907779788,-27.9420185,-1.22498274,-0.173570067,-60.1581192,1.2372183645000958,-4.577363715527595,-27.9420185,0.0016524700073712304,27.94201854886292,False,False
4503600499785728,211,1,1,0.00138079433,0.000907779788,-27.9420185,0.997386575,-0.444531351,-19.5696068,1.0919652476210568,-3.5799232934240015,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503600634003456,-211,-1,21,0.00138079433,0.000907779788,-27.9420185,1.09650552,-0.107811153,48.1223946,1.1017929025464177,4.470087095974045,-27.9420185,0.0016524700073712304,27.94201854886292,False,False
4503600684335104,211,1,21,0.00138079433,0.000907779788,-27.9420185,1.19059396,-0.33655414,16.4358482,1.2372480215137227,3.281136090940721,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503600768221184,-211,-1,21,0.00138079433,0.000907779788,-27.9420185,0.0942124575,-1.00906789,3.59617066,1.0134564587476078,1.9789384903364902,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503600818552832,321,1,21,0.00138079433,0.000907779788,-27.9420185,-1.03781617,0.66899699,1.15618718,1.234754783486393,0.8356571668600687,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503600835330048,-321,-1,21,0.00138079433,0.000907779788,-27.9420185,-1.16300762,0.851130486,3.70805192,1.4411834818567206,1.6739781729724468,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503600852107264,2212,1,21,0.00138079433,0.000907779788,-27.9420185,-1.07548857,0.418440789,3.6379683,1.1540226852621172,1.865575781693285,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503600986324992,-211,-1,21,0.00138079433,0.000907779788,-27.9420185,-1.57331514,-0.616729856,-190.87439,1.6898746240579507,-5.420128003851731,-27.9420185,0.0016524700073712304,27.94201854886292,False,False
4503601338646528,211,1,113,0.00138079433,0.000907779788,-27.9420185,-0.609192848,0.908501089,-2.96877599,1.0938419240313186,-1.7239313309115014,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503601405755392,-211,-1,-213,0.00138079433,0.000907779788,-27.9420185,0.478813142,-0.988842785,3.61450481,1.098668320467314,1.90633974197603,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503601640636416,321,1,323,0.00138079433,0.000907779788,-27.9420185,-1.24574149,-0.787747681,-2.17898464,1.47391257163656,-1.1827035256375071,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503601774854144,-2212,-1,-2214,0.00138079433,0.000907779788,-27.9420185,-0.335785389,-1.03943753,0.578390121,1.0923287995097366,0.5074422168021595,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503601892294656,-211,-1,-213,0.00138079433,0.000907779788,-27.9420185,-1.89265716,0.793304801,12.6448717,2.052189960161806,2.518012169068543,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503601909071872,211,1,113,0.00138079433,0.000907779788,-27.9420185,-0.946893215,1.17401505,8.45843124,1.508283162486255,2.425194982747508,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503601959403520,-211,-1,-213,0.00138079433,0.000907779788,-27.9420185,-0.998958111,0.163497567,8.69326687,1.0122493575930822,2.8468935411654472,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503602009735168,-211,-1,113,0.00138079433,0.000907779788,-27.9420185,0.852531433,1.02330363,-125.794006,1.3319009585641908,-5.2412136877173,-27.9420185,0.0016524700073712304,27.94201854886292,False,False
4503602227838976,321,1,313,0.00138079433,0.000907779788,-27.9420185,0.463754475,0.898519814,17.3080997,1.0111409739661035,3.53409452999695,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503602630492160,2212,1,2224,0.00138079433,0.000907779788,-27.9420185,-0.851689458,0.551985383,-5.08009434,1.014920093364,-2.313499387129,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503602680823808,-211,-1,113,0.00138079433,0.000907779788,-27.9420185,-0.698083937,0.837438583,-7.22349787,1.0902405988562653,-2.589734984909664,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503603033145344,-211,-1,-213,0.00138079433,0.000907779788,-27.9420185,0.886822462,0.863407254,1129.35669,1.2377100489886805,7.509287991934986,-27.9420185,0.0016524700073712304,27.94201854886292,False,False
4503603133808640,2212,1,2224,0.00138079433,0.000907779788,-27.9420185,-1.14026535,0.259545594,-110.349457,1.1694310513131738,-5.240310118634608,-27.9420185,0.0016524700073712304,27.94201854886292,False,False
4503603620347904,-211,-1,223,0.00138079433,0.000907779788,-27.9420185,-1.5254724,-1.92152679,-279.827362,2.4534325439778173,-5.429851164346664,-27.9420185,0.0016524700073712304,27.94201854886292,False,False
4503604090109952,-211,-1,223,0.00138079433,0.000907779788,-27.9420185,-0.881461024,0.474330932,8.44446087,1.0009812035613443,2.829171556239592,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4503604828307456,211,1,223,0.00138079433,0.000907779788,-27.9420185,-1.59493339,1.81130064,97.9483185,2.4134254757504534,4.396691805524028,-27.9420185,0.0016524700073712304,27.94201854886292,False,False
4503604845084672,-211,-1,223,0.00138079433,0.000907779788,-27.9420185,-0.743207157,0.807759643,57.0607872,1.0976486318834047,4.644186535468551,-27.9420185,0.0016524700073712304,27.94201854886292,False,False
4503607344889856,-211,-1,113,0.00138079433,0.000907779788,-27.9420185,-0.758031726,-1.25617003,-2.79244924,1.4671657172564865,-1.3995319793613046,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4504699155775488,-13,1,24,0.00138079433,0.000907779788,-27.9420185,15.9017906,-29.434679,67.874794,33.455452053727946,1.4564464623395441,-27.9420185,0.0016524700073712304,27.94201854886292,True,True
4513498805567488,-13,1,50,184.082901,630.830139,11515.1797,-0.531827569,1.28642023,3.21543527,1.3920192424322673,1.574221663016913,11515.1797,657.1401514983962,11533.915063932258,False,False
4523394779316224,211,1,221,0.00138010154,0.000906804809,-27.942152,-0.970921516,-1.33531785,-198.195038,1.6509882951615256,-5.481042038725831,-27.942152,0.0016513555711402369,27.9421520487968,False,False
4523394796093440,-211,-1,221,0.00138010154,0.000906804809,-27.942152,-0.93376565,-1.32005048,-170.864044,1.6169265780696884,-5.353510570657246,-27.942152,0.0016513555711402369,27.9421520487968,False,False
4551983457370112,2212,1,3122,82.1625824,-71.8668289,167.68428,1.00645816,-0.881608844,2.20340538,1.3379806357528505,1.273536658015673,167.68428,109.15828435248818,200.08385442583082,True,True
4584970014162944,211,1,310,-187.815796,153.804184,888.601013,-1.33688736,1.27497542,6.94435549,1.8473846743252869,2.0345460704234544,888.601013,242.75605088858129,921.1635362668485,True,True
4598164556349440,2212,1,3122,412.756439,508.753387,53353.6016,1.36123157,1.71972907,186.117706,2.19326684682182,5.134169054490865,53353.6016,655.1319613024024,53357.623650030015,False,False
4652042320609280,-321,-1,421,0.065692313,0.0573042892,-28.0130768,1.70393407,1.00909364,-0.975373209,1.9803184817587334,-0.4745236391776911,-28.0130768,0.08717374345528134,28.01321243742399,True,True
4503599711256576,-211,-1,1,-0.0120461965,-0.0177413765,15.8874693,2.24185586,-0.641909122,-42.3215408,2.331944471449342,-3.592499076853096,15.8874693,0.02144451655392036,15.887483772634756,True,True
4503599761588224,-211,-1,2,-0.0120461965,-0.0177413765,15.8874693,0.722686946,-2.75812769,2.4199748,2.851235657791818,0.7702816498510912,15.8874693,0.02144451655392036,15.887483772634756,True,True
4503599845474304,211,1,2,-0.0120461965,-0.0177413765,15.8874693,1.21586943,0.237967327,0.53281498,1.2389378190724705,0.4177966774452851,15.8874693,0.02144451655392036,15.887483772634756,True,True
4503599895805952,-321,-1,2,-0.0120461965,-0.0177413765,15.8874693,-2.32882428,0.504444659,3.0622642,2.382831706418048,1.0693560167402272,15.8874693,0.02144451655392036,15.887483772634756,True,True
4503600214573056,-211,-1,21,-0.0120461965,-0.0177413765,15.8874693,-1.46713316,-0.551950037,-1.06148386,1.5675230628338095,-0.6338654823962202,15.8874693,0.02144451655392036,15.887483772634756,True,True
4503600231350272,211,1,21,-0.0120461965,-0.0177413765,15.8874693,-1.84219503,-0.711959541,-0.597935557,1.9749858016141868,-0.29831024108326853,15.8874693,0.02144451655392036,15.887483772634756,True,True
4503600617226240,2212,1,3,-0.0120461965,-0.0177413765,15.8874693,1.16624022,-0.00123945845,-6.4352684,1.1662408786365266,-2.4092665165762983,15.8874693,0.02144451655392036,15.887483772634756,True,True
