particle_id,particle_type,charge,parent_ptype,vx,vy,vz,px,py,pz,pt,eta,z0,d0,vr,is_matched,is_trackable
4524494777483264,-13,1,-50,468.305145,-6.11464739,-308.775085,10.7308416,1.76280212,-9.47792912,10.874669317205331,-0.7875778155100318,-308.775085,468.3450626900801,560.9716132416437,True,True
4523395198746624,-13,1,50,-53.3498878,-75.0447235,-179.853729,-9.92679024,-9.21430969,-23.6815395,13.54417467150314,-1.325136826354167,-179.853729,92.07562681548272,202.0526784991218,True,True
4523395215523840,13,-1,50,-53.3498878,-75.0447235,-179.853729,2.68690848,-4.99912596,-7.68959856,5.675450426516104,-1.1114783999166482,-179.853729,92.07562681548272,202.0526784991218,True,True
4516797608886272,13,-1,-50,421.536072,631.301392,1745.84766,8.81140327,12.4027891,25.7272511,15.214138327412615,1.2962530429992474,1745.84766,759.1008546552473,1903.7379440106251,True,True
4516797625663488,-13,1,-50,421.536072,631.301392,1745.84766,-1.79339242,2.09473991,2.1289475,2.7575698835496927,0.7106840575908729,1745.84766,759.1008546552473,1903.7379440106251,True,True
4507998663737344,13,-1,50,1.08226681,-14.1901684,11.062562,2.24577856,-5.79317331,-22.7739162,6.21324217621139,-2.0101893392502124,11.062562,14.23138013926921,18.025328254215793,True,True
4507998680514560,-13,1,50,1.08226681,-14.1901684,11.062562,-2.92723155,-10.9520359,-56.438652,11.336479828509564,-2.3082128811445926,11.062562,14.23138013926921,18.025328254215793,True,True
4505799254605824,-13,1,50,-23.3142738,-3.68425822,184.964111,-4.23203754,-5.16638136,31.6775627,6.678445784531361,2.260801623399854,184.964111,23.603582809671163,186.46407557348232,True,True
4517896935964672,-13,1,50,-92.1254425,80.8908081,32.8061371,-15.2688694,5.59726429,-6.07786179,16.262464151731912,-0.3655404633078348,32.8061371,122.59861333184742,126.91202709875779,True,True
4517896952741888,13,-1,50,-92.1254425,80.8908081,32.8061371,-2.64699554,10.9917364,-5.86863804,11.305965437584923,-0.49820714496109714,32.8061371,122.59861333184742,126.91202709875779,True,True
4523394376663040,13,-1,50,-8.1383667,-317.61203,2016.91394,-1.57580173,-5.58999252,49.7070045,5.807853946676599,2.843477566847826,2016.91394,317.71628005701024,2041.784875049178,True,True
4512398153089024,-13,1,-50,21.4371071,-103.065048,-105.226204,5.080163,-10.5620346,-2.38952136,11.720265824552195,-0.202492797746097,-105.226204,105.27085864596704,148.8439037660219,True,True
